REVIEW_KEY,REVIEW_TEXT,AVERAGE_RATING,RATING_BAND,SEAT_TYPE,TYPE_OF_TRAVELLER,NATIONALITY,DOMINANT_TOPIC,TOPIC_LABEL,TOPIC_CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,ABSA_Seat_Comfort_score,ABSA_Cabin_Staff_score,ABSA_Food_score,ABSA_WiFi_score,ABSA_Entertainment_score,ABSA_Ground_Service_score,ABSA_Delays_score,ABSA_Value_score
25bc88bd3c3eae69ebddc71fc5f07f2c,They forced me to check a bag both ways due to size regiments of my carry on. Both trips they lost my checked bag. They offered no compensation for losing my bag during connecting flights. I was stranded in a foreign country with nothing. I submitted multiple claims for compensation and they were all immediately declined due to my ticket not being eligible for compensation. This was my first and last experience with Delta airlines.,1.0,bad,Economy Class,Solo Leisure,United States,0,Luggage & Baggage,0.6615651962838168,-0.8442,Negative,,,,,,,,
27ca6eba50d7336fb4d7fbf14c5ea46a,"When initially purchasing a Delta seat, upgrading to First Class is usually quite expensive. Therefore it is rare that they sell out their first class seats initially. When Delta doesn’t sell all those first class seats early on (typical), Delta will do a “reverse auction” by continually lowering the price of those first class seats, until all the seats are sold, usually at rock bottom prices. But Delta doesn’t want their best customers / Diamond Medallion to see how cheaply they are selling those seats to random customers, so they block us (Diamond Medallion / Loyal customers) from being able to upgrade to First for a fee. On the app, all those first class seats are just X’ed out and unavailable to us! So next time all you diamond medallion customers are sitting in comfort plus, and wondering who paid those huge prices to get into first class, please know that those are mostly non-loyal customers that bought the seat very inexpensively. And those inexpensive seats were never made available to you, Delta‘s best customers! Delta does not take care of the best customers.  I’ve already started flying other airlines.",3.0,medium,Economy Class,Family Leisure,United States,6,Check-in & Boarding,0.4642887715116451,0.988,Positive,0.0,,,,,,,0.0
2e07fe06bc34439768a6a086b89ee8c4,"At the gate broken navigation separation system 2 hours system not fixed. Then workaround and take on more fuel. Taxi for take off and air system broken 1 hour later back to the gate. I took an additional hour to cancel the flight. Very long line at customer service to get a $48 Food voucher. Not able to use at the second rate hotel we were sent to. Lack of information, bad communication. We had the Delta app that even after the flight was canceled sent notes the flight would be departing in 30 min. Sent us 16000 air miles, insulting. We had upgraded seats that we never received.",2.5,medium,Economy Class,Couple Leisure,United States,5,WiFi & Entertainment,0.5132943918239772,-0.9451,Negative,,,,,,,0.0,
336878a646162e0e3476b643bf4c10ba,"Delay after delay after gate change after delay. I'm looking at my plane right now, and 2 hours later we are starting to board. This happened on my previous flight too If you can't keep your schedule then close down/sell to someone who can. My time is worth a decent amount, and you have taken over 7 hours total of delays (delays on the way there, and on the way back) that I could have been working and making money. At least they have video screens so it keeps my son occupied",1.5,bad,Economy Class,Family Leisure,United States,3,Flight Delays & Scheduling,0.5831973441093591,-0.6124,Negative,,,,,0.0,,0.0,0.0
34fe4b0ed89698a008f83ed63088e00a,"My wife and I were placed in 2 separate rows. When we approached the ticket agent to check in our luggage, we asked if my wife could be moved to the same row as me. The agent started yapping on about how we should get an American express card while checking in our luggage, going on & on about all the benefits. Finally my wife's aisle was moved to mine. We boarded the plane and flew to Orlando for our vacation. After our vacation I checked the charges and found Delta charged me twice for seat changes. Apparently, the ticketing agent moved me over a single seat in the same row from seat B to C (I did not ask for that). I jumped through all their customer service hoops to get refunded for 1 of the seat moves only to be told that since we flew, no refund was required.",2.0,medium,Economy Class,Couple Leisure,United States,0,Luggage & Baggage,0.5915969999368076,-0.3612,Negative,,,,,,0.0,,
3ee6e8572964efa0d559f8b6bbb20ca0,This has to be the worst airline flying. We have been sitting at the gate in Atlanta for 7 hours and they just brought the plane from the hanger. Were they unaware of the flight???,1.0,bad,Economy Class,Couple Leisure,United States,0,Luggage & Baggage,0.8905090304953679,-0.7536,Negative,,,,,,,,
44a6276dc081d3801e985e57b19b436c,"This is a mediocre airline masking chaos with spin. My recent flight experience with Delta was an absolute disaster. The flight was scheduled to leave at 5 PM, and we had already begun pre-boarding when they suddenly delayed it—due to “crew rotation issues solvable in 30 min”. That’s not just bad planning, that’s complete operational failure. Worse yet, Delta kept passengers in limbo by delaying the flight in 3–4 hour increments, rather than being honest about the scope of the issue. We didn’t end up departing until 3 AM—nearly 10 hours late. This wasn’t just an inconvenience; I missed an important business meeting in Seattle that cannot be rescheduled or salvaged. When I asked about meal vouchers, a check-in agent smugly claimed the delay was due to weather—a completely false excuse that he threw out without even checking the flight’s status. When I pressed him on it, he got defensive instead of just owning the mistake. Another agent eventually handed me a $45 voucher, which was frankly insulting considering the time and opportunities lost. Meanwhile, the ground crew was patronizing and dismissive, treating passengers like they were the problem for simply asking for updates. The lack of accountability was staggering. But here’s the real kicker: This isn’t just a one-off incident. Delta has clearly been in a state of decline. Flights are constantly delayed, crews are visibly irritated, customer service is unresponsive, and compensation is laughably inadequate. It’s also hard to ignore the pattern: Every quarter, especially in the last two weeks before it ends, Delta’s delays and cancellations seem to spike—and yet, minimal compensation is offered to retail passengers. It’s almost as if they’re gaming the system: delaying flights incrementally to avoid triggering certain metrics, and downplaying the chaos to maintain the illusion of operational performance. It feels calculated—like Delta is more concerned with managing optics and investor reports than actually serving its customers. This is not an isolated issue. It’s systemic. They lost me as a business.",1.0,bad,Business Class,Business,United States,5,WiFi & Entertainment,0.5018704688500627,-0.9757,Negative,,,,,,0.0,0.0,
46d74ac43c06f936a94708d9b6f5937e,"I arrived at the airport and my flight was delayed. My Delta app notified me I could switch flights for free, so I did switch so that I could catch my second flight from Seattle to Redmond (My first flight was Boston to Seattle). This second flight was delayed, and my app notified me I could switch flights for free, and so I switched to my original flight from Boston to Seattle with a later flight from Seattle to Redmond. When my flight was finally ready for boarding (4 hours after expected time), I tried to scan my physical boarding pass and was told I could not board the flight. I figured this was just because I switched flights in the app, so I showed them my boarding pass in the app. They said I did not have an eticket (despite my app showing my itinerary) and that I would not be allowed to board. I asked to speak to a manager, and she told me since I didn't have an eticket I would not be on the flight, nor could I transfer to another flight or receive a refund. I showed them my original boarding pass, my flight receipt, my app boarding pass, my app itinerary, and my baggage status (showing my bags were on that flight) in the app. They let me watch my flight take off without me. I was able to book a flight with United later in the day and that flight went smoothly. I still have yet to see if my checked baggage makes it to Redmond, the Delta app says it's on the plane but who knows. 0/10 They didn't let me on my flight that I paid $350 for and they might lose my baggage.",1.0,bad,Economy Class,Solo Leisure,United States,5,WiFi & Entertainment,0.6925376241660814,0.4215,Positive,,,,,,,-0.226,
48f5173d97c0d90448e0d12f129c19b3,"The Feb 21st Delta flight from Detroit to Amsterdam has been delayed for over 3 hours due to a technical issue (allegedly, a faulty switch on the board). The communication on the steps taken to remediate has been proactive and constant, while the Delta app has been far behind in terms of updates during the whole time. However, the communication on the available options couldn't have been worse. One cabin crew said we could offboard and come back, another said the opposite. When redirected to a manager, I have been told that we would deplane all deplane shortly. Less than two minutes later, another cabin crew announced that we'd be done in 15 minutes. And so on and so forth for 3.5 hours now. One cabin crew in particular has been quite rude when asked for clarifications. He patronizingly retorted that maybe I shouldn't get off the plane if I'm concerned about being able to get back on. How would anyone not be concerned given the circumstances?! During all these hours, the only thing we've been offered was water. No food, no snacks, no any other beverages! And not for lack of asking.",2.43,medium,Economy Class,Business,Romania,3,Flight Delays & Scheduling,0.5810527599396843,0.246,Positive,,0.0,,,,,-0.226,
4a7b65573a7068b563b4096ba7156e7a,"First the good. An incredible lead flight attendant who completely won us all over with his charm, his smile, and his efficiency. He did not disappear after the meal service but consistently checked up on us offering snacks and drinks.The meal was a pre order and ok. The insult is the seating configuration. The meager legroom should be an embarrassment to Delta. It is literally impossible for the window seater to get to the aisle without the aisle sitter getting up.When the seat in front is reclined minimally there is not an inch to spare and the screen is hard to see. Directly behind without a divider of any sort is a small premium economy section who sit there enviously staring at the minimal upgrade that first class is. Truly shameful. As I said previously the flight attendant was the saving grace.",4.14,good,Business Class,Solo Leisure,United States,6,Check-in & Boarding,0.528162189727389,0.1229,Positive,0.0,0.0,0.0,,,,,
5759f73a892ac6837a18a0446819d955,"I could not purchase check-in luggage until online check-in opened 24 hours prior to the flight. This is inconvenient as I was travelling and busy in the 24 hours leading up to the flight. Why can’t they allow purchase of check-in luggage at the time of booking, saving passengers a last minute scramble to sort things out? Makes no sense to me. Baggage drop at Orlando was smooth (no queue) but the flight ended up being 5 hours delayed. Whilst the weather is out of their hands, the airline’s communication and contingency planning was lacking. Delta staff at the airport couldn’t care less about delayed passengers, and I found out more of what was going on via my own internet searches. Onboard service was pretty basic (a drink and a single cookie on a 3 hour flight) and inconsistent (some passengers in the same class were offered more than others).",1.8,bad,Economy Class,Business,United Kingdom,3,Flight Delays & Scheduling,0.6388388442958448,0.6017,Positive,,,,,,0.0,,
59b356b3eeef851782a6f11c06f7d6c8,"Delta has no control over weather, they certainly have control over what planes land. There were storms in Atlanta causing delays on April 6. Our flight circled Atlanta for an hour and a half, and then was low on gas. Rather than land us, they diverted us to Greensboro South Carolina, where we sat for over 3 1/2 hours. As a direct result of this, I miss my flight to Italy, a gentleman and a seat across from me missed his flight to Finland, and they were multiple other passengers who also missed flights, both domestically and internationally from this one flight alone. At Atlanta, there were two maybe three agents to help every single customer who are disrupted by the weather. The online system put you on hold for an hour, then get back to you an hour and say oh, we’re gonna put you on hold for another hour before somebody answers. There is literally no excuse for an airline of Delta size to have insufficient customer service representatives when they know they are subject to weather in Atlanta. This is not the first time Delta’s been through this.",1.83,bad,Business Class,Solo Leisure,United States,5,WiFi & Entertainment,0.9597313533773556,-0.6621,Negative,,,,,,,0.0,
5b237c1108e5bc4d224bb2c06ef0eab3,"For the past five years, every single flight I’ve had with Delta has come with a guaranteed problem, whether it’s a multi-hour delay, a last-minute cancellation, or total silence from customer service when things go wrong. There is no transparency, no accountability, and absolutely no sense of urgency or empathy for travelers who are stranded, late for work, missing connections, or simply trying to get home. Delta does not care. They don’t care about compensating passengers. They don’t care about clear communication. And they definitely don’t care about the inconvenience they cause. This airline has become synonymous with stress and disappointment. Fly with Delta only if you enjoy chaos, being treated like an afterthought, and wasting entire days of your life.",1.0,bad,Economy Class,Business,United States,3,Flight Delays & Scheduling,0.6178305321163186,-0.8455,Negative,,,,-0.296,,,0.0,
5c15211cb0a2d54f8ac74f1c92d19094,"Delta canceled Flight DL 930 due to a mechanical issue. Delta was unable to rebook us on any alternative flights. As a result, my family was forced to remain at the airport overnight. No hotel or transportation assistance was provided. Eventually, we had no option but to return home by Uber at our own expense. Delta has since refused to reimburse our transportation costs, even though the cancellation was due to a mechanical failure, which is fully within Delta’s control. Additionally, the airport staff were unprofessional and unable to provide clear assistance. For every basic question they had to make phone calls, acting only as intermediaries without authority to resolve the situation. After many hours, we were simply told that there were “no flights” available. The cancellation process itself took approximately five hours to complete, creating unnecessary stress and hardship, especially while traveling with a child. Delta’s handling of this situation reflects a serious failure in customer care, communication, and basic passenger protection obligations.",1.0,bad,Economy Class,Family Leisure,United States,5,WiFi & Entertainment,0.5671984511060288,-0.9641,Negative,,,,,,,0.0,0.0
5d57c218633f46ecb58d61395db7ddc4,"We didn’t get to fly with Delta as they canceled our flight 2 hours before we were leaving home. The rescheduled us, but on a flight that wouldn’t get in until 5 minutes before our cruise left the harbor - we were not going to make it! We called around frantically & booked an expensive flight on United - never got reimbursed for that by our travel insurance (don’t bother!). We were disappointed that they didn’t care if we missed our cruise, didn’t reimburse or refund us. Never again!",1.0,bad,Economy Class,Couple Leisure,United States,5,WiFi & Entertainment,0.6007950526014049,-0.7207,Negative,,,,,,,0.0,
5e8051200bad1dfc7c0b0938bdeef6d1,"I checked in 2 luggages, in my first layover I received a message that one of my luggages end up in Tarom lost and found office in Bucharest,  a totally different airline.Because my full journey included 2 layovers I been told to fill a complaint when reach final destination. Nevertheless my luggage was returned to my home address, which cause a big inconvenience for me as I work on ship and this luggage was essential to me. As per company policy, you are entitle for reimbursement for delay luggage into 21 days frame. Was not the case, as although my claim was made in time, their answer came after 30 days with conclusion I exceed the time frame. This led me to believe was intentionally done and their negligence from check in to handle this situation is serious misconduct.",1.83,bad,Economy Class,Solo Leisure,Romania,0,Luggage & Baggage,0.5466073597221776,-0.8176,Negative,,,,,,0.0,,
5f83170584fb625c3a314dbbc715007c,This is the second time we have flown Delta in 6 months. Both times we ended up getting home a day later. I usually look for the cheapest flight when I travel. I will continue to do that but I will never travel Delta again. I would rather pay more for any other airline. The last time they gave us a token amount that wasn’t worth the head ache.,1.71,bad,Economy Class,Couple Leisure,United States,2,Customer Service & Staff,0.9601870285014602,-0.3919,Negative,,,,,,,0.0,
620529a98e1e030ed9eabe8bc9fa94c8,My flight was on August 26  at 5:20 AM. Flight Number DL812. This flight had the most professional and courteous flight crew I have ever encountered. Exceptional customer service!,4.71,good,Economy Class,Couple Leisure,United States,3,Flight Delays & Scheduling,0.9203821752515822,0.6317,Positive,,0.0,,,,0.0,,
67d537538386cd9fdcf03a0db5fccb44,Flew back home to New York on New Yewrs Eve. Check in in Los Angeles was easy and efficient. Extremely friendly agents at the gate area and very professional crew on the flight. I chose to sit on the back of the plane since there were many empty seats and thankfully nobody sat next to me which made the flight more comfortable. For this 4.5 hour flight the crew was very professional and attentive also very friendly. The aircraft was one of the refurbished 767s and even though it was old the cabin was in great shape with excellent WiFi and delta studio which is amazing. The crew came by with three drink services they also passed around with water. Compared to my last flight on delta this one was outstanding. While exiting the plane I saw someone left an amenity kit and I asked the cabin attendant if I could have it she said sure. Recommend delta when they have a New York City based crew.,4.57,good,Economy Class,Solo Leisure,United States,3,Flight Delays & Scheduling,0.7340947251860838,0.9896,Positive,0.0,0.0,,,,,,
6a69cf06e080e32c980307a8e508a203,"I arrive to TPA International to board my flight from Tampa to Las Vegas and the TSA airport security says that my date of birth with my booking reservation with Delta is wrong and it is 05/01/1997, but I talk to 4 delta representatives and they say that my birthdate with my booking reservation was correct and has not changed since I originally booked my flight. I miss my flight and I am forced to pay $600 for a new plane ticket because TSA makes me go through ID Verification and then I try to get a refund for my flight ticket and Delta says that their system is correct and my birthday was right the entire time. Both Delta and Tampa International both are just pointing fingers at each other and I am the one who has to front the $600 expense and both companies say it’s not their fault. Terrible customer service from each side and no one wants to take accountability and just default to “it’s our procedure” or the booking reservation has not changed from the beginning. Also the TSA Supervisor is condescending and tried to make it my fault and can’t even tell me why it’s coming up as incorrect if delta says it’s correct the entire time.",1.0,bad,Economy Class,Solo Leisure,United States,2,Customer Service & Staff,0.8912555085267282,-0.7895,Negative,,,,,,,,
6bce55fc78b1a4d25b8212eb94191ec4,"Delta ought to be ashamed flying this ancient aircraft on this route. Middle biz class seats have no divider insuring zero privacy. The screen size is the same as my IPad, 3 out of 6 toilets inoperable. While lie flat seats are very narrow. Calling this Delta One is inexcusable. Food was mediocre. Crew worked hard and pleasantly but could do just so much.I felt sorry for them. Wifi of course did not work.",3.33,medium,Business Class,Solo Leisure,United States,3,Flight Delays & Scheduling,0.6483924325010582,-0.391,Negative,0.0,0.0,,0.0,,,,
6c123a99af32530caaceb3ee91329a0e,"Haven't flown Delta in a while, I see why. I am only giving this review 2 because of the Boston crew flying out of Dallas acknowledged my birthday and gave me a treat. But everything else Delta went downhill. In Atlanta our flight was delayed, no explanation. Being proactive, I told the gate person that I was in zone 8 and couldn't check my bag because I would be late for my cruise check in. He didn't care, checked my bag anyway. When we arrived in Palm Beach, I was too late to board the cruise, so I missed the cruise by 10 minutes. Then having to get hotel and car to get around Palm Beach because there were no affordable flights back home. Get to the airport to return home, again flight delayed, missed connecting flight. 7pm home arrival turned into 1am. This was the worst birthday trip ever. Date of experience: June 18, 2025",2.14,medium,Economy Class,Solo Leisure,United States,0,Luggage & Baggage,0.4721797059654317,-0.9593,Negative,,,,,,,0.0,
7d441e7197618b7061ae7f53318ffed7,"I bought two tickets for my friends. The payment went through, and I received a confirmation of the purchase of two tickets. Everything is fine. But imagine the surprise when we were told at the airport that the tickets were cancelled, and Delta sent me a refund. I did not request a refund, my bank (as I found out) did not reject the transaction. For some reason unknown to me, Delta decided to do this. And Delta did not notify anyone. And we get a situation - two people at the airport cannot fly, because they just found out that Delta cancelled their tickets.",1.0,bad,Economy Class,Family Leisure,United States,6,Check-in & Boarding,0.49175182533733897,0.4565,Positive,,,,,,,0.0,
80c2be5a3fa203195dd09086ad78ca96,"I am writing to formally express my dissatisfaction with the service we experienced during our recent travel attempt with Delta Airlines, which not only resulted in three flight cancellations in one day but also caused us to miss a significant family event. We had booked a trip to Atlanta well in advance to attend a wedding on Saturday, August 2nd. Intentionally, we selected a 10:00 AM flight from Cleveland to allow ample buffer time in case of any unforeseen delays. Unfortunately, this flight was cancelled without explanation. I immediately attempted to rebook and was placed on the next available flight at 6:00 PM, as all earlier flights were fully booked. The 6:00 PM flight was also cancelled later that afternoon. Upon contacting Delta, I was informed that the only viable option to reach Atlanta in time for the wedding was to drive two hours to Columbus for a 6:30 PM departure. We were advised to save our gas and parking receipts for reimbursement. We made that drive and arrived at 5:30 PM. While checking in, I inquired about an earlier 5:30 PM Columbus-Atlanta flight (which was delayed at the time) but was told it was full and had at least a 20-person standby list. Shortly thereafter, I was told my 6:30 PM flight was delayed to 9pm, then was cancelled—our third cancellation of the day. From 7:00 AM to 10:00 PM, our day was consumed by repeated cancellations, rebookings, and a 4-hour round trip drive, all in an unsuccessful effort to reach Atlanta for our wedding. Meanwhile, other Delta flights from both Cleveland and Columbus to Atlanta departed without issue, and family members and friends on those flights arrived without incident. If weather was cited as the cause for our cancellations, it remains unclear why numerous other flights on the same route, at overlapping times, operated as scheduled. The cancellations appear arbitrary, and I suspect they were due to staffing iand plane availability issues, not just weather. I was later informed 2 of the cancelleations were due to inadequate staffing for the flight. To add to our frustration, our submission for reimbursement of gas and parking expenses related to our drive to Columbus—initiated under the guidance of Delta staff—was denied. Given the extent of inconvenience we endured, and the fact that we ultimately missed an important family event, I had reasonably expected some form of compensation. A denial of basic out-of-pocket expenses was not anticipated. My wife spent hours the following day working to cancel and request refunds for our unused hotel accommodations in Atlanta—another unfortunate outcome of the travel disruptions. This experience has left us extremely disappointed in the level of service and customer care provided by Delta. At the very least, we expected that our incurred travel expenses would be reimbursed. Beyond that, we believe additional compensation is warranted given the significant disruption to our travel plans caused by Delta's inadequate staffing issues, the missed wedding, and the lack of meaningful support or resolution offered throughout this ordeal. I can no longer access my boarding pass for verification, it's not available on the App.",1.0,bad,Economy Class,Family Leisure,United States,4,Food & Beverages,0.5910435140571451,-0.9901,Negative,,,,,,,-0.295,
89d1e4ca221b9cc9ff8c49ffcfa807e9,The Delta negotiations and lack of communication misconnected my flight to Europe by 30 hr and refused reimburse me my out of pocket hotel and cab expenses. To top it off they lost my luggage for 3 days even after I asked Delta to make sure to put on the next flight. I hope people start to boycott Delta that they will lose a lot of money maybe then will start respecting people who made them successful.,1.0,bad,Economy Class,Solo Leisure,United States,0,Luggage & Baggage,0.8303890926274486,0.4939,Positive,,,,,,-0.318,,
8b78ffb27e4bde5845c17f46cf49bde9,"As an experienced traveller I can tell that traveling with Delta is the worst experience. It starts with the ground staff who are very unfriendly, impatient and it clearly shows that they don’t enjoy their job. Following the airline crew, members feels like all mid aged to old women who passed their prime. Hence service is taken superficially and impatiently. No sense of customer service and friendliness. I will avoid Delta from now on.",2.0,medium,Economy Class,Family Leisure,Japan,3,Flight Delays & Scheduling,0.9742398825723335,-0.6214,Negative,,0.0,,,,,,
8dc96c34f2dd1fc2ab4064d3d7486ad6,"SEA to MFR in first class. Flight slightly delayed but the pilot made up for it in the air. Ground staff kept everyone informed. Even on this routine domestic flight, the crew reflected how diverse the U.S. aviation workforce is - people from different backgrounds and life paths, all clearly well-trained, professional people who enjoy their jobs. All in all a good experience.",5.0,good,First Class,Solo Leisure,Taiwan,3,Flight Delays & Scheduling,0.8758634145637245,0.9081,Positive,,0.0,,,,,-0.113,
8f89f5d01647e4abb049b87f90d0cafa,New design for the overhead compartment. Call lights and light also new. FA were very particular with backpacks placed under the seat. Only few seats for comfort plus. Boarding was confusing initially i was in main cabin 17C the upgraded to 13A and upon boarding back to my original seat. Super delayed flight due to staffing and scheduling as was announced. Card for platinum holders was given a note on the seat for the 100 years anniversary,4.0,good,Economy Class,Business,United States,6,Check-in & Boarding,0.45674418091707336,0.7096,Positive,0.318,,,,,0.0,,
98306916018c13afbb0869ffe00c020a,"This was the first time we flew with delta, our 1st flight to our destination went very smooth. Our flight on our way home that's something else, flew in to Atlanta set on the tarmac for 3 hour while it was raining, after we got to the gate they canceled our connecting flight. Went to customer service to some lady that didn't care. Was told that the next flight wasn't until Sunday at noon mind, you this is Friday night at 1030 pm. it's take it or leave it, Making it impossible to get your money back or get hotels. This will be the only time I ever fly this airline.",1.67,bad,Economy Class,Couple Leisure,United States,5,WiFi & Entertainment,0.5053702447712025,-0.4268,Negative,,,,,,,0.0,0.0
